NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,prestamo,pr_recup,edad,faltas,dummy_prenda_tipo5,dummy_edo_civil1,dummy_edo_civil2,dummy_edo_civil3,dummy_edo_civil4,dummy_trabajo1,dummy_trabajo2,dummy_trabajo3,dummy_trabajo4,dummy_trabajo5,dummy_trabajo6,dummy_trabajo7,dummy_trabajo8,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,renta,comida,medicina,luz,gas,telefono,agua,masqueprepa,estresado_seguido,pb,fb,hace_presupuesto,tentado,low_cost,low_time,rec_cel,dummy_choose_same3,dummy_trabajo9,pro_8,reincidence,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-916516169086e7,3595471,0,0,0,0,0,1,1,0,0,0,0,0,1360,100,48,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0.011058892473483975,4.767274995183614e-4,0.41501821058068616
-915634713117e7,78133121,0,0,0,1,0,0,0,0,0,1,0,0,480,100,45,0.2857143,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,-0.0019401907956157526,6.220754038902437e-4,0.47228978739425476
-913936589531e7,42125021,0,0,0,0,0,1,0,0,1,0,0,0,3980,100,22,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0.00648810842723059,8.05703367895252e-4,0.4260507626484271
-910705168816e7,5522747,0,0,0,0,1,0,0,1,0,0,0,0,380,100,40,0.14285715,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,-0.004210811636686074,5.435549409986551e-4,0.3615820781163631
-908821747816e7,80117247,0,0,0,1,0,0,0,0,0,0,1,0,1900,100,72,0.14285715,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,-0.011076621367395664,9.555953877953376e-4,0.46009843009078677
-908131838248e7,80118911,0,1,0,0,0,0,0,0,0,0,1,0,1200,50,60,0.2857143,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0.004831727631202908,6.523167941412102e-4,0.47175675085336044
-907261225358e7,3595411,0,0,1,0,0,0,1,0,0,0,0,0,690,100,33,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,-0.008114284983320444,6.214672228519974e-4,0.33777621626639337
-9.0665660440399995e+018,5514273,0,0,0,0,1,0,0,1,0,0,0,0,50,100,47,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,-0.01085282220242764,8.759779866643418e-4,0.3924363315519634
-896449096822e7,78133294,0,1,0,0,0,0,0,0,0,1,0,0,860,75,25,0.14285715,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0.011572061886885287,6.409543108722935e-4,0.5341741984245973
-891013129704e7,5514472.5,0,0,0,0,0,1,0,1,0,0,0,0,1845,65,37,0.14285715,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0.002954235217204287,2.3368976386640094e-4,0.4240065453583616
