NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,prestamo,pr_recup,edad,faltas,dummy_prenda_tipo5,dummy_edo_civil1,dummy_edo_civil2,dummy_edo_civil3,dummy_edo_civil4,dummy_trabajo1,dummy_trabajo2,dummy_trabajo3,dummy_trabajo4,dummy_trabajo5,dummy_trabajo6,dummy_trabajo7,dummy_trabajo8,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,renta,comida,medicina,luz,gas,telefono,agua,masqueprepa,estresado_seguido,pb,fb,hace_presupuesto,tentado,low_cost,low_time,rec_cel,dummy_choose_same3,dummy_trabajo9,pro_9,reincidence,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-920924936431e7,42124669,0,0,0,1,0,0,0,0,1,0,0,0,1260,100,50,0.2857143,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,-0.03160091846421155,3.2760996150756695e-4,0.28645351850703266
-916516169086e7,3595471,0,0,0,0,0,1,1,0,0,0,0,0,1360,100,48,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,-0.03933949876002382,5.269443296829656e-4,0.2810361367457573
-915634713117e7,78133121,0,0,0,1,0,0,0,0,0,1,0,0,480,100,45,0.2857143,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,-0.024720754652158446,3.9215923621927753e-4,0.29947695977812117
-910705168816e7,5522747,0,0,0,0,1,0,0,1,0,0,0,0,380,100,40,0.14285715,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,-0.03160816807188936,5.67119891026539e-4,0.27180711513597067
-910323975224e7,10463800,0,0,0,0,0,1,0,0,0,0,0,1,2970,100,39,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,-0.03157631794309137,2.2101810721300805e-4,0.3403409191395367
-908821747816e7,80117247,0,0,0,1,0,0,0,0,0,0,1,0,1900,100,72,0.14285715,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,-0.04682632429600503,2.8400112637596225e-4,0.206088155383432
-908131838248e7,80118911,0,1,0,0,0,0,0,0,0,0,1,0,1200,50,60,0.2857143,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,-0.04120742406765665,4.752680275834781e-4,0.21436532025953706
-907261225358e7,3595411,0,0,1,0,0,0,1,0,0,0,0,0,690,100,33,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,-0.02922991190187718,5.782863605892927e-4,0.24605097938169498
-9.0665660440399995e+018,5514273,0,0,0,0,1,0,0,1,0,0,0,0,50,100,47,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,-0.03170969960626142,1.3339995359448184e-4,0.2568616324223069
-899104389128e7,80118770,0,1,0,0,0,0,0,0,0,0,1,0,2470,80,45,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,-0.029190281789104686,5.229760223259475e-5,0.23723657897675693
-893172895562e7,78134579,0,0,0,0,0,1,0,0,0,1,0,0,510,100,45,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,-0.01843538788569516,1.2181999700093517e-4,0.3077822440275435
-888315713377e7,78133246,1,0,0,0,0,0,0,0,0,1,0,0,450,100,60,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,-0.04328653247994571,5.917870863537923e-4,0.3712932994643934
